;;;;STANDALONE;;
;;;3 Months ended;;Year ended;
S.No.;Particulars;;;;;
;;31.03.2017;31.12.2016;31.13.2016;31.03.2017;31.03.2016
;;Audited;Unaudited;Audited;Audited;Audited
;;;;;;
;INCOME;;;;;
;a) Revenue from operations;46.753;50.284;37.561;2.00.201;1.72.039
;b) Other income;1.548;1.065;1.570;6.018;6.117
;Total Income (a) + (b);48.301;51.349;39.131;2.06.219;1.78.156
;EXPENSES;;;;;
;a) Movie exhibition;11.444;12.249;9.342;49.376;43.362
;b) Cost Of food and beverages;3.192;3.232;2.554;13.219;11.616
;c) Employee benefits expenses;4.996;5.367;4.548;20.522;16.855
;d) Finance costs;2.140;2.025;2.210;7.997;8.336
;e) Depreciation and amortisation expense;3.232;3.126;2.794;12.239;9.851
;1) Other expenses;;;;;
;i) Rent;9.752;9.622;7.846;37.824;32.079
;ii) Others;13.020;12.158;10.283;49.833;40.741
;Total expenses (a) to (f);47.776;47.779;39.577;1.91,010;1.62.840
3;Profit/ (Loss) before exceptional items;525;3.570;446;15.209;15.316
;Exceptional items;150;132;537;495;1.109
;Profit/ (Loss) before tax;375;3.438;983;14.714;14.207
;Tax expense/ (credit);363;1.226;358;5.422;4.856
;Net Profit/ (Loss) for the period;12;2.212;625;9.292;9.351
;Other Comprehensive Income/(expense) (net of tax);61;32;12;142;20
9;Total Comprehensive Income for the period;49;2.180;613;9.150;9.371
;Earnings per share (fully paid up equity share Of Rs.10 each);;;;;
;(a) Basic Earning Per Share;0.11;4.67;1.40;19.58;20.74
;(b) Diluted Earning Per Share;0.11;4.67;1.40;19.58;20.72
