;;;;;;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended
;;;;;;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,
;;;;;;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014
;;;;;;;;;;;;;;;;;;;;
Domestic Streaming;;;;;;;;;;;;;;;;;;;;
;Total members at end of period;;;;;23.410;23.938;25.101;27.146;;29.174;29.807;31.092;33.420;;35.674;36.244;37.219;39.114;
;Paid members at end of period;;;;;22.022;22.686;23.801;25.471;;27.913;28.624;29.925;31.712;;34.377;35.085;36.265;37.698;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $506.665 ; $532.705 ; $556.027 ; $589.471 ; $2.184.868 ; $638.649 ; $671.089 ; $701.083 ; $740.554 ; $2.751.375 ; $798.617 ;$838.225 ;$877.150 ;$917.442 ; $3.431.434 
;Cost of revenues*;;;;;364.008;381.287;401.953;423.352;1.570.600;440.334;452.598;473.965;496.479;1.863.376;517.094;546.223;565.251;573.193;2.201.761
;Marketing*;;;;;70.173;64.019;58.368;52.699;245.259;66.965;67.177;60.637;70.453;265.232;80.258;64.727;61.045;87.423;293.453
;Contribution profit;;;;;72.484;87.399;95.706;113.420;369.009;131.350;151.314;166.481;173.622;622.767;201.265;227.275;250.854;256.826;936.220
;Contribution margin;;;;;14,30%;16,40%;17,20%;19,20%;16,90%;20,60%;22,50%;23,70%;23,40%;22,60%;25,20%;27,10%;28,60%;28,00%;27,30%
;;;;;;;;;;;;;;;;;;;;
International Streaming;;;;;;;;;;;;;;;;;;;;
;Total members at end of period;;;;;3.065;3.624;4.311;6.121;;7.142;7.747;9.188;10.930;;12.683;13.801;15.843;18.277;
;Paid members at end of period;;;;;2.409;3.024;3.689;4.892;;6.331;7.014;8.084;9.722;;11.755;12.907;14.389;16.778;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $43.425 ; $64.973 ; $77.744 ; $101.400 ; $287.542 ; $142.019 ; $165.902 ; $183.051 ; $221.418 ; $712.390 ; $267.118 ;$307.461 ;$345.685 ;$387.797 ; $1.308.061 
;Cost of revenues*;;;;;94.129;110.173;125.731;153.262;483.295;166.892;184.400;209.811;221.201;782.304;245.267;266.697;291.942;350.211;1.154.117
;Marketing*;;;;;51.979;44.227;44.390;52.794;193.390;52.047;47.335;47.537;57.499;204.418;56.840;56.036;84.609;116.248;313.733
;Contribution profit (loss);;;;;-102.683;-89.427;-92.377;-104.656;-389.143;-76.920;-65.833;-74.297;-57.282;-274.332;-34.989;-15.272;-30.866;-78.662;-159.789
;Contribution margin;;;;;-236,50%;-137,60%;-118,80%;-103,20%;-135,30%;-54,20%;-39,70%;-40,60%;-25,90%;-38,50%;-13,10%;-5,00%;-8,90%;-20,30%;-12,20%
