Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;"Year ended
December 31,
2017";"Year ended
December 31,
2016";"Year ended
December 31,
2015";;
"Box office revenues (i)
";;$715,605;$734,193;$730,171;;
Food service revenues;;441,876;423,92;418,445;;
Media revenues;;171,874;170,792;153,646;;
Amusement revenues (i);;185,341;111,348;30,593;;
Other revenues (i);;40,371;38,073;38,088;;
Total revenues;;1,555,067;1,478,326;1,370,943;;
Film cost;;376,759;389,602;379,103;;
Cost of food service;;99,438;96,059;90,53;;
Depreciation and amortization;;119,916;105,941;89,339;;
Loss on disposal of assets;;706;1,57;3,236;;
Other costs (a);;843,219;759,93;655,389;;
Costs of operations;;1,440,038;1,353,102;1,217,597;;
Net income;;$70,346;$77,991;$134,249;;
Adjusted EBITDA (ii);;$235,929;$234,009;$249,802;;
Theatre occupancy expenses;;207,022;204,633;203,356;;
Other operating expenses;;569,406;487,108;383,281;;
General and administrative expenses;;66,791;68,189;68,752;;
Total other costs;;$843,219;$759,93;$655,389;;
EPS - basic;;$1.11;$1.26;$2.13;;
EPS excluding non-recurring items - basic (ii);;$1.07;$1.26;$1.56;;
EPS - diluted;;$1.11;$1.25;$2.12;;
EPS excluding non-recurring items - diluted (ii);;$1.07;$1.25;$1.55;;
Total assets;;$1,855,168;$1,728,186;$1,701,917;;
Total long-term financial liabilities (iii);;$576,5;$407,5;$339,5;;
Shares outstanding at period end;;63,330,446;63,515,875;63,370,059;;
Cash dividends declared per Share;;$1660;$1600;$1540;;
Adjusted free cash flow per Share (ii);;$2373;$2456;$2492;;
Box office revenue per patron (i) (ii);;$10.17;$9.84;$9.48;;
Concession revenue per patron (ii);;$6.00;$5.65;$5.43;;
Film cost as a percentage of box office revenues (i);;52.6%;53.1%;51.9%;;
Attendance (in thousands of patrons) (ii);;70,394;74,594;77,023;;
Theatre locations (at period end);;163;165;162;;
Theatre screens (at period end);;1,676;1,683;1,655;;
;;;;;;
